date,ticker,open,high,low,close,volume
2024-12-26,AAPL,256.7872242633273,258.6868506395932,256.2302692406472,257.6127014160156,27237100
2024-12-27,AAPL,256.42919055718573,257.29448932345014,251.68511699924173,254.2013702392578,42355300
2024-12-30,AAPL,250.85960874260036,252.1227129740064,249.3876539575231,250.82977294921875,35557500
2024-12-31,AAPL,251.0684930674946,251.90392569582917,248.07483671879714,249.05946350097656,39480700
2025-01-02,AAPL,247.57754859678104,247.74663833648884,240.50619200781614,242.52516174316406,55740700
2025-01-03,AAPL,242.03782653808594,242.85336358935695,240.5758118291158,242.03782653808594,40244100
2025-01-06,AAPL,242.98266113735735,245.98625772407811,241.87869116125097,243.66891479492188,45045600
2025-01-07,AAPL,241.6598944370817,244.21593900697974,240.03876048613398,240.8940887451172,40856000
2025-01-08,AAPL,240.60566285257053,242.38594639970384,238.7458272949175,241.3814239501953,37628900
2025-01-10,AAPL,238.70602211575698,238.85521627248303,231.73411285331812,235.56320190429688,61710900
2025-01-13,AAPL,232.2612269401141,233.39503269669683,228.47192915300568,233.12649536132812,49630700
2025-01-14,AAPL,233.47460320476435,234.8371551382162,231.20699165927476,232.01258850097656,39435300
2025-01-15,AAPL,233.36518970349533,237.66172623332486,233.15632396556444,236.57763671875,39832000
2025-01-16,AAPL,236.06047699847062,236.7168796666606,226.79110553013876,227.0198516845703,71759100
2025-01-17,AAPL,230.85887189963304,231.02794645733286,227.23864886634655,228.73049926757812,68488300
2025-01-21,AAPL,222.783001089375,223.20071739531107,218.1881065481907,221.43038940429688,98070400
2025-01-22,AAPL,218.59586314481808,222.90233985709415,218.59586314481808,222.61392211914062,64126500
2025-01-23,AAPL,223.51898889751178,225.7965406078772,221.09224303438072,222.44485473632812,60234800
2025-01-24,AAPL,223.5587751677507,224.40416321125562,220.207089142254,221.56964111328125,54697900
2025-01-27,AAPL,222.80290778981754,230.888727332658,222.76311661057002,228.61117553710938,94863400
2025-01-28,AAPL,229.59580038333414,238.88505261672515,229.5560092044273,236.9655303955078,75707600
2025-01-29,AAPL,232.84800364416722,238.5568232574634,232.73860067537262,238.05953979492188,45486100
2025-01-30,AAPL,237.3732826437262,239.48175963713217,235.92122345328548,236.2991485595703,55658300
2025-01-31,AAPL,245.8470107317681,245.8470107317681,232.1717149504871,234.71780395507812,100959800
2025-02-03,AAPL,228.74047863837345,230.5704783469237,224.47377754488917,226.77122497558594,73063300
2025-02-04,AAPL,226.0153521080233,231.86341095944582,225.4186058340825,231.5352020263672,45067300
2025-02-05,AAPL,227.28840417126338,231.40591110501148,227.02982220448578,231.20700073242188,39620300
2025-02-06,AAPL,230.03338922164468,232.5297620441898,229.17806101517482,231.95291137695312,29925300
2025-02-07,AAPL,231.33629458433444,232.72868233994458,226.02529517161955,226.39329528808594,39707200
2025-02-10,AAPL,228.57377553913867,229.58933825388894,226.21404995469493,226.66209411621094,33115600
2025-02-11,AAPL,227.2097321635687,234.20922454356437,227.1400438259152,231.6105499267578,53718400
2025-02-12,AAPL,230.19669384296432,235.9317077791751,229.67894615315132,235.8420867919922,45243300
2025-02-13,AAPL,235.88194100703416,241.28837041996871,234.54775953627293,240.4818878173828,53614100
2025-02-14,AAPL,240.203075232316,244.48441805735465,239.9442089936196,243.53854370117188,40896200
2025-02-18,AAPL,243.0905000064508,244.11602908498713,240.7905267294893,243.40911865234375,48822500
2025-02-19,AAPL,243.5982928571997,244.94242536854557,242.10480216065562,243.807373046875,32204200
2025-02-20,AAPL,243.87707690453925,245.70908851524857,243.2298884862767,244.76321411132812,32316900
2025-02-21,AAPL,244.88267886995578,247.6107939080121,244.155851012499,244.4844207763672,53197400
2025-02-24,AAPL,243.86711335623195,247.7800669312537,243.3593319822528,246.0277099609375,51326400
2025-02-25,AAPL,246.92381259977986,248.91513366913293,243.84722519384715,245.9679718017578,48013300
2025-02-26,AAPL,243.26971340939616,243.91688660847365,238.09228223905913,239.3169403076172,44433600
2025-02-27,AAPL,238.3710773588995,241.4078448384303,236.0312691715791,236.27023315429688,41153600
2025-02-28,AAPL,235.92174819400608,241.03944246427386,229.2010399398617,240.79052734375,56833400
2025-03-03,AAPL,240.74073286620586,242.97101773746803,235.0853888180174,236.99705505371094,47184000
