ticker,article_date,article_count,unique_source_count,total_word_count,tone_weighted,tone_positive_weighted,tone_negative_weighted,tone_polarity_weighted,tone_avg,tone_stddev,tone_min,tone_max,positive_article_count,negative_article_count,neutral_article_count,avg_activity_density
AAPL,2025-01-01,130,72,84358.0,0.62339263452576743,3.8796930597630377,3.2563004252372707,7.1359934850003084,0.1744059175510792,4.2215078414686564,-8.78552971576227,12.7423822714681,51,59,20,23.280483580738888
AAPL,2025-01-02,232,136,164617.0,0.82231128325506186,3.63640659482392,2.8140953115688578,6.4505019063927778,0.30758574059945665,3.4888801249537575,-11.0047846889952,13.8888888888889,94,81,57,21.7876090906755
AAPL,2025-01-03,232,145,128097.0,0.17954530786418524,3.3375575617215012,3.1580122538573163,6.4955698155788166,-0.54767013669816011,3.1784749637378624,-7.69230769230769,13.2454488386692,61,119,52,22.3435076611602
AAPL,2025-01-04,154,83,94694.0,-0.014292720154844658,2.8413722968478119,2.8556650170026572,5.6970373138504691,-0.17758135481151266,2.7316705318491845,-7.36196319018405,7.87878787878788,53,66,35,22.4436063820345
AAPL,2025-01-05,139,81,78774.0,-0.29936531162991242,2.6709228495811121,2.9702881612110237,5.6412110107921354,-0.81381828204199846,3.0330958917427293,-9.50570342205323,6.54095462581025,35,64,40,22.777244116888408
AAPL,2025-01-06,200,115,130726.0,0.30500298224722366,3.348081229122061,3.0430782468748379,6.391159475996897,-0.030397184409249576,3.5486530481805731,-10.3896103896104,12.8048780487805,68,76,56,21.577082782898362
AAPL,2025-01-07,210,119,275928.0,-0.29214561349432927,2.6877730965748095,2.9799187100691404,5.6676918066439486,-0.11672238331338705,3.8266299740804,-11.13074204947,17.9331306990881,79,88,43,22.575470238187247
AAPL,2025-01-08,230,136,142031.0,1.1901186454462394,3.7746305339820125,2.5845118885357734,6.3591424225177864,0.23174468183111374,3.6836774677123141,-12.7450980392157,12.1951219512195,87,78,65,22.477680727958298
AAPL,2025-01-09,264,167,181060.0,1.2233893563036886,3.56859932007892,2.3452099637752335,5.9138092838541532,0.27440829998419791,3.3008202842581498,-9.95850622406639,8.99376669634906,114,95,55,21.660470799317586
AAPL,2025-01-10,216,131,130545.0,0.61444851069703321,3.3683710087632135,2.7539224980661805,6.1222935068293953,0.43240485924158867,3.3369565501365588,-11.7647058823529,13.589364844904,92,72,52,22.474271806625083
AAPL,2025-01-11,177,104,101764.0,-0.4316996020215747,3.2043540048362451,3.6360536068578204,6.8404076116940642,-0.59186923024190075,3.2672801650289616,-8.79676440849343,9.89247311827957,61,90,26,24.070041864399244
AAPL,2025-01-12,126,72,65335.0,-0.18349718362635808,3.2202954009582632,3.4037925845846209,6.6240879855428858,-0.6425348012879003,3.4379867188946855,-10.8247422680412,8.31024930747922,34,52,40,22.263680157721211
AAPL,2025-01-13,360,248,282073.0,-1.1261437017660876,2.7724610727537349,3.898604774519824,6.6710658472735576,-0.66960973133543533,3.3887514295891421,-11.7224880382775,11.1392405063291,105,203,52,22.619676078703634
AAPL,2025-01-14,450,290,304386.0,-0.728707012514025,2.7081249702196164,3.4368319827336444,6.14495695295326,-0.96538531229780589,2.9033945594088393,-9.375,17.1464330413016,86,263,101,21.492171915358039
AAPL,2025-01-15,425,299,249510.0,-0.25244566923318723,2.9261825706546283,3.1786282398878165,6.1048108105424435,-0.65534301686290375,2.8208673972595291,-8.69565217391304,11.1374407582938,101,216,108,21.820801549554581
AAPL,2025-01-16,390,254,278496.0,0.576218113360747,3.2461151979496217,2.6698970845888743,5.9160122825384933,-0.152408888122793,3.3553699380466071,-10.3004291845494,9.50226244343892,133,158,99,22.349637611016234
AAPL,2025-01-17,372,249,275175.0,-0.12321040163883938,3.3408650619676186,3.4640754636064566,6.8049405255740751,0.10540814237143567,3.4663069165071665,-9.42028985507246,17.7142857142857,132,150,90,22.284984320373706
AAPL,2025-01-18,265,193,214171.0,-1.4118142168073429,2.8188638369197245,4.2306780537270683,7.0495418906467933,-1.0991998158883616,2.945683343752123,-8.39285714285714,10.2803738317757,53,169,43,22.166333790944705
AAPL,2025-01-19,622,367,464397.0,-2.1107603080621127,2.48740092373719,4.5981612317993052,7.0855621555365,-1.8884608277746218,2.2946946582943832,-10.9243697478992,15.1133501259446,60,482,80,22.757924415426224
AAPL,2025-01-20,382,243,235756.0,-0.22365234281266472,3.2116351819301538,3.4352875247428192,6.6469227066729744,0.2922047415789828,2.9891002968924587,-9.43396226415094,11.6959064327485,142,127,113,22.560625068960707
AAPL,2025-01-21,366,181,212382.0,0.63968972315569594,3.7270931581377456,3.0874034349820496,6.8144965931197969,0.533109839511735,3.447421193933546,-11.2359550561798,22.2222222222222,145,117,104,22.817159054522474
AAPL,2025-01-22,307,179,171304.0,1.188556525962885,3.7476266508771716,2.5590701249142858,6.3066967757914574,0.94624199967013878,3.1927279987474586,-8.76132930513595,12.2448979591837,146,87,74,23.159575673953938
AAPL,2025-01-23,265,163,150027.0,1.4028875861967394,3.8590193147781293,2.4561317285813917,6.3151510433595206,0.52968318262907532,3.7075280345090276,-10.0,9.1304347826087,110,90,65,21.833952271882062
AAPL,2025-01-24,239,127,140940.0,0.17629522954085328,2.6700422548998639,2.49374702535901,5.1637892802588761,-0.17879546478381031,3.1841670664412716,-14.2857142857143,10.8108108108108,95,76,68,21.877597274604064
AAPL,2025-01-25,112,67,69726.0,1.0177708045285523,4.1506970490400024,3.132926244511451,7.2836232935514511,0.34625984852516667,3.7260073290726803,-8.0,10.0,39,42,31,22.860769722508266
AAPL,2025-01-26,115,57,79654.0,-0.50964480523307132,3.143444382256698,3.6530891874897695,6.7965335697464679,-0.085071478098815378,3.4978808790250229,-8.84329678103997,13.7777777777778,43,44,28,22.902986252359874
AAPL,2025-01-27,997,589,569118.0,0.32044544368811823,3.3304238502114316,3.0099784065233117,6.3404022567347447,0.37840255206951479,2.5564768081919342,-12.0689655172414,12.4268347591175,350,368,279,20.786210869937278
AAPL,2025-01-28,968,548,529265.0,0.46418732281601444,3.7661194400097222,3.3019321171937084,7.0680515572034279,0.22791500708405124,2.7927381173896637,-10.2040816326531,21.7086834733894,320,330,318,21.6647399574747
AAPL,2025-01-29,587,302,426036.0,-0.056040545336212916,3.5402694775974033,3.5963100229336149,7.136579500531016,0.17327389617702546,2.6298927894955151,-8.30860534124629,10.5990783410138,196,244,147,22.459183739407614
AAPL,2025-01-30,387,199,231710.0,0.78128241494229933,3.4656063011196161,2.6843238861773169,6.149930187296933,0.75457054987128158,2.6915381298287495,-8.35117773019272,12.3711340206186,187,83,117,21.711107940320083
AAPL,2025-01-31,440,211,277032.0,0.8130112129524445,3.2282889091303777,2.4152776961779319,5.6435666053083091,0.5308643593530471,2.8076465146885909,-8.64197530864197,22.8624535315985,190,110,140,21.671359187916202
AAPL,2025-02-01,235,144,131206.0,0.33301804242363231,3.1006295260757493,2.7676114836521162,5.8682410097278659,-0.038129603499537756,2.6979684568440261,-8.90688259109312,8.78552971576227,81,69,85,21.913032190120614
AAPL,2025-02-02,119,67,83972.0,-0.53937466781785026,2.8537362186621742,3.393110886480025,6.2468471051422014,-0.7107407111502041,2.8072753114462743,-8.82352941176471,6.90021231422505,28,40,51,22.30445161326125
AAPL,2025-02-03,206,118,115642.0,0.29306848828500676,3.1177765081959281,2.8247080199109225,5.942484528106851,0.13559943849856249,3.2696697356743729,-10.4046242774566,8.35117773019272,92,73,41,21.880818181892259
AAPL,2025-02-04,244,144,157769.0,-0.060992169799841067,3.0619789550037857,3.1229711248036263,6.1849500798074093,-0.391082599505984,3.41817874076567,-9.84848484848485,11.1111111111111,83,108,53,22.003518214408288
AAPL,2025-02-05,287,187,183469.0,0.077909482567615929,3.0918052098664988,3.0138957272988827,6.1057009371653823,0.0069146869985181464,3.3733683202933156,-16.9934640522876,12.0689655172414,113,117,57,22.220710080407116
AAPL,2025-02-06,287,178,203315.0,0.27589701167166014,2.9203662155978636,2.6444692039262039,5.5648354195240683,-0.19848752791676977,2.9892600509587681,-10.8108108108108,8.86917960088692,93,98,96,22.148271076121052
