,0
earnings_week,0.14955601061054208
realized_vol5,0.06137524148170538
polarity_lag1,0.05200805845081466
polarity_lag3,0.044035246009152026
polarity_lag2,0.04238247546780375
tone_positive_weighted,0.0370618578393328
tone_polarity_weighted,0.03653105820714244
tone_lag1,0.03640074187947209
avg_activity_density,0.03566319413301364
close,0.03150395569905582
open,0.03078698138856782
low,0.028264763167992306
tone_vol5,0.027450239297597486
high,0.027449452522747643
tone_weighted,0.02689919436299961
daily_return,0.025604058924630548
tone_avg,0.025027032293385227
tone_negative_weighted,0.02470879228163618
tone_lag3,0.02334137802564476
tone_stddev,0.022359836094750254
tone_momentum,0.021761226758777712
volume,0.020120031042629532
positive_article_count,0.019074766328241614
articles_lag2,0.018911147793585097
tone_lag2,0.01872234931820389
tone_rolling5,0.01836389418240491
articles_lag3,0.01788449915073105
article_count,0.017801534803158006
unique_source_count,0.015478367978464285
articles_lag1,0.014685347777844552
negative_article_count,0.014546168597626181
neutral_article_count,0.014241098130346694
