,0
earnings_week,0.13912606006426942
polarity_lag1,0.06654388416454564
realized_vol5,0.06521938120964786
avg_activity_density,0.03379602402844438
polarity_lag2,0.03347279256536564
tone_positive_weighted,0.03346209412472774
tone_polarity_weighted,0.03217712009344227
daily_return,0.03188515955992871
tone_lag1,0.031757480650284005
close,0.031306078913675386
tone_negative_weighted,0.02980650130518402
low,0.028668924593319624
high,0.028534778829344416
gdelt_missing,0.02846556272533363
tone_vol5,0.02832341596044704
open,0.02799539903179403
tone_avg,0.02530964391109216
tone_stddev,0.024306688119893314
tone_lag3,0.023619826933728643
polarity_lag3,0.022907962884581103
tone_weighted,0.022754769615032613
volume,0.021205250729771766
positive_article_count,0.020432693715016863
tone_rolling5,0.020235658120427553
tone_momentum,0.019405812566339824
articles_lag3,0.019290255078418746
article_count,0.01862385575791576
tone_lag2,0.017317890395103404
articles_lag1,0.0161130788125655
negative_article_count,0.015031867097320906
neutral_article_count,0.01481035183076222
unique_source_count,0.014804019364435057
articles_lag2,0.013289717247840657
