date,ticker,open,high,low,close,volume,daily_return,realized_vol5,article_count,unique_source_count,tone_weighted,tone_positive_weighted,tone_negative_weighted,tone_polarity_weighted,tone_avg,tone_stddev,positive_article_count,negative_article_count,neutral_article_count,avg_activity_density,tone_lag1,tone_lag2,tone_lag3,articles_lag1,articles_lag2,articles_lag3,polarity_lag1,polarity_lag2,polarity_lag3,tone_rolling5,tone_momentum,tone_vol5,earnings_week,direction_t1,direction_t2,direction_t3,return_t1
2024-12-26,AAPL,256.7872242633273,258.6868506395932,256.2302692406472,257.6127014160156,27237100,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0,0.0,0.0,0.0,-0.013242092326996312
2024-12-27,AAPL,256.42919055718573,257.29448932345014,251.68511699924173,254.2013702392578,42355300,-0.013242092326996358,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.013263489834321778
2024-12-30,AAPL,250.85960874260036,252.1227129740064,249.3876539575231,250.82977294921875,35557500,-0.013263489834321796,1.513032253030603e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.007057812266172214
2024-12-31,AAPL,251.0684930674946,251.90392569582917,248.07483671879712,249.05946350097656,39480700,-0.007057812266172192,0.0035766886875027827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.026235910356350905
2025-01-02,AAPL,247.57754859678104,247.74663833648884,240.50619200781617,242.5251617431641,55740700,-0.026235910356350867,0.008070928588359151,232.0,136.0,0.8223112832550618,3.63640659482392,2.8140953115688574,6.450501906392778,0.3075857405994566,3.4888801249537575,94.0,81.0,57.0,21.7876090906755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16446225665101236,0.8223112832550618,0.36774878560468055,0,0.0,1.0,0.0,-0.0020094212145883375
2025-01-03,AAPL,242.0378265380859,242.85336358935697,240.5758118291158,242.0378265380859,40244100,-0.0020094212145883583,0.009074454938186533,232.0,145.0,0.1795453078641852,3.337557561721501,3.1580122538573163,6.495569815578817,-0.5476701366981601,3.1784749637378624,61.0,119.0,52.0,22.3435076611602,0.8223112832550618,0.0,0.0,232.0,0.0,0.0,6.450501906392778,0.0,0.0,0.2003713182238494,-0.6427659753908765,0.3562615044847029,0,1.0,0.0,0.0,0.006738980762493773
2025-01-06,AAPL,242.98266113735735,245.98625772407811,241.87869116125097,243.66891479492188,45045600,0.006738980762493796,0.012385445031940966,200.0,115.0,0.3050029822472236,3.348081229122061,3.043078246874838,6.391159475996897,-0.0303971844092495,3.548653048180573,68.0,76.0,56.0,21.57708278289836,0.1795453078641852,0.8223112832550618,0.0,232.0,232.0,0.0,6.495569815578817,6.450501906392778,0.0,0.2613719146732941,0.1254576743830384,0.33907329385562535,0,0.0,0.0,0.0,-0.011387689940426146
2025-01-07,AAPL,241.6598944370817,244.21593900697977,240.038760486134,240.8940887451172,40856000,-0.01138768994042616,0.012227394569756665,210.0,119.0,-0.2921456134943292,2.6877730965748095,2.9799187100691404,5.667691806643949,-0.116722383313387,3.8266299740804,79.0,88.0,43.0,22.575470238187247,0.3050029822472236,0.1795453078641852,0.8223112832550618,200.0,232.0,232.0,6.391159475996897,6.495569815578817,6.450501906392778,0.20294279197442827,-0.5971485957415528,0.4125770712050142,0,1.0,0.0,0.0,0.0020230268314875913
2025-01-08,AAPL,240.60566285257053,242.38594639970384,238.7458272949175,241.3814239501953,37628900,0.0020230268314875843,0.013047440814620661,230.0,136.0,1.1901186454462394,3.774630533982013,2.5845118885357734,6.359142422517786,0.2317446818311137,3.6836774677123145,87.0,78.0,65.0,22.477680727958298,-0.2921456134943292,0.3050029822472236,0.1795453078641852,210.0,200.0,232.0,5.667691806643949,6.391159475996897,6.495569815578817,0.4409665210636762,1.4822642589405686,0.5768304060883263,0,0.0,0.0,0.0,-0.024103851699453567
2025-01-10,AAPL,238.70602211575695,238.85521627248303,231.73411285331812,235.56320190429688,61710900,-0.024103851699453616,0.01223758464660717,216.0,131.0,0.6144485106970332,3.3683710087632135,2.7539224980661805,6.122293506829395,0.4324048592415886,3.336956550136559,92.0,72.0,52.0,22.474271806625083,1.1901186454462394,-0.2921456134943292,0.3050029822472236,230.0,210.0,200.0,6.359142422517786,5.667691806643949,6.391159475996897,0.39939396655207043,-0.5756701347492061,0.5493095794234193,0,0.0,0.0,1.0,-0.010344173127510466
