date,ticker,true,pred,confidence,article_count,tone_weighted,tone_stddev,realized_vol5,earnings_week,tone_lag1
2026-01-16,GOOGL,0,1,0.5901772142479743,2698.0,0.8898154109123757,3.88949960052286,0.0100308195949137,1,0.134805366074232
2026-01-27,META,0,1,0.5793808444464073,22.0,0.4868027130904074,3.3163598916072714,0.0207285532963802,1,1.2401534995431704
2026-01-29,META,0,1,0.5715178515350193,27.0,2.464606229990718,2.2453675466446086,0.0443351305091366,1,-0.4914754395122344
2026-01-16,META,0,1,0.5622984702039169,32.0,-0.7024850849729845,2.2232989646725145,0.0136043831759748,1,-1.487683211155101
2026-01-15,GOOGL,0,1,0.5612328230784984,2375.0,0.134805366074232,2.9878688270045095,0.0090541655573673,1,0.1077808814600765
2026-01-28,MSFT,0,1,0.561130066231777,1244.0,-0.0468667159412948,2.7145903925413397,0.0117585667018931,1,0.7619265446469617
2026-02-04,META,1,0,0.5596896256526487,18.0,-1.9616996726156104,2.745725608569197,0.0578777695577559,0,-0.0639495709957887
2026-01-22,GOOGL,0,1,0.5593278084302705,2115.0,0.5278119439367505,3.05619643531655,0.0168034980041331,1,0.350426204133595
2026-01-20,MSFT,0,1,0.5577564832698769,898.0,0.8120242523667158,2.799915803897889,0.0113656651160575,1,0.4336065034174289
2026-01-16,MSFT,0,1,0.5538328210012684,830.0,0.4336065034174289,2.69215234092432,0.011509661345938,1,0.4876678160901866
2026-01-16,AAPL,0,1,0.551620671567356,209.0,0.1791441973613015,3.0279480541966866,0.0060727449189236,1,0.0957285975630905
2026-01-29,GOOGL,0,1,0.5512101093777506,2310.0,0.20090093835012,3.0591992562740384,0.0086140020892796,1,0.2355472001078916
2026-01-05,META,1,0,0.5499641186823232,2.0,-0.0102076226044214,0.5375158237441755,0.0124462143775369,0,-0.5019580379490318
2026-01-08,META,1,0,0.5493538653737682,9.0,-0.663933418345131,2.3086903686307956,0.0126703993115458,0,-0.2083050438008727
2026-01-15,NVDA,0,1,0.5487007063240545,776.0,0.3506725179825112,1.9849527065796344,0.0128522778184899,1,0.5381481301097966
2026-01-30,NVDA,0,1,0.5484945257764919,420.0,1.0439435566211035,2.345935303502096,0.0103021667230947,1,1.4298262958431267
2026-01-27,AAPL,0,1,0.5476784714677596,252.0,0.0094714428280568,3.0110033599116,0.0122795491189315,1,0.9143209285030428
2026-01-16,TSLA,0,1,0.5474641706770378,76.0,-0.682353430646221,2.0348471974789404,0.0095614647294538,1,0.6497776061595235
2026-02-06,META,1,0,0.5466311452655594,10.0,-1.8596348787934176,2.9673285832676943,0.0126135392781688,0,0.9724737584975338
2026-01-28,TSLA,0,1,0.5444437984780344,28.0,0.6901103010697504,2.2845437116592575,0.026349330616189,1,0.9008572282845332
2026-01-29,AMZN,0,1,0.5437366364240701,172.0,0.2858697539523806,3.1627197329630508,0.0157809784756867,1,-0.906914150420232
2026-01-27,AMZN,0,1,0.5422484862056685,104.0,1.0171674939910589,3.723504265202416,0.0124360769969651,1,-1.0403019551954975
2026-01-23,NVDA,0,1,0.541025118810996,493.0,0.6112429426533617,2.4054609955503348,0.0278691208966681,1,1.3724408461869453
2026-01-16,NVDA,0,1,0.5407467901542115,605.0,0.8197253468390391,2.0871179928253483,0.0131517708692636,1,0.3506725179825112
2026-01-29,NVDA,0,1,0.5404309426771371,705.0,1.4298262958431267,1.8417619797468896,0.009220051525384,1,1.4859025502942471
2026-01-15,AAPL,0,1,0.540063289370156,250.0,0.0957285975630905,2.9918838843144595,0.0045642402325699,1,0.8771623596540804
2026-01-28,AMZN,0,1,0.5397432315679537,544.0,-0.906914150420232,2.9234993312274944,0.0144922958321742,1,1.0171674939910589
2026-01-23,AMZN,0,1,0.5383410002086715,238.0,-0.6839866348851328,2.8042442797732683,0.0209771646636164,1,0.683010198841242
2026-01-30,MSFT,0,1,0.5379574027946941,1515.0,-0.1933717205164383,2.841622075505166,0.0487801942740578,1,0.463579707731316
2026-01-30,TSLA,0,1,0.537865717058847,63.0,0.6355773302741826,1.5346064997853217,0.0274689978179687,1,0.8978302481818154
2026-01-02,META,1,0,0.5375408601229135,8.0,-0.5019580379490318,3.5836723825422476,0.0096187451533311,0,0.2410420456457302
2026-01-12,AAPL,1,0,0.5356736697224688,437.0,-1.205507162530729,4.945246396575001,0.0085838698632051,0,1.4833089485315387
2026-01-22,AAPL,0,1,0.5349616541215635,203.0,0.5931943131253222,3.2823953808729116,0.0155334260067329,1,0.9993041554524612
2026-01-16,AMZN,0,1,0.5348096816799516,87.0,0.5468436315826124,3.025929787923637,0.0131776335577052,1,0.5835583733302496
2026-01-23,TSLA,0,1,0.5296003197986806,60.0,0.1351590346819395,2.7100853133265357,0.032342076131382,1,0.1946044779997649
2026-01-15,META,0,1,0.5283539133530187,23.0,-1.487683211155101,4.369448955116602,0.0163411250919489,1,-0.3597293740321153
2026-01-22,TSLA,0,1,0.5275397495999187,36.0,0.1946044779997649,2.0088985154318784,0.032378405207414,1,-2.040394698470335
2026-01-07,TSLA,1,0,0.5268959268903685,31.0,-0.5766621824305,2.5071077785390643,0.0272327782109851,0,-0.5066013870267502
2026-02-10,TSLA,1,0,0.5265940101959342,23.0,0.1951900980296217,2.904993564077073,0.0303753150246718,0,1.57589133957756
2026-02-10,NVDA,1,0,0.5241877358120514,491.0,1.4947680424528715,1.8877817910134849,0.0440228390011459,0,0.7643095255156672
2026-01-14,META,1,0,0.5237751659297789,28.0,-0.3597293740321153,2.421016762713643,0.0139736646058532,0,0.058716591865944
2026-02-06,NVDA,1,0,0.5216997719980944,615.0,1.2208704779013424,1.867402992514233,0.0475426081254372,0,1.333214209437032
2026-02-06,TSLA,1,0,0.5214176736636428,29.0,1.6165947665615286,1.974960828337804,0.0279888031641779,0,-1.2143597343919996
2026-01-09,TSLA,1,0,0.5201557101252272,27.0,1.1526447546458205,2.033686289624441,0.0282070466031694,0,0.2289645895881215
2026-01-09,NVDA,1,0,0.5199691597490677,520.0,0.8508868023336926,2.66499751730258,0.0113145480142429,0,1.2609702083101313
2026-01-30,META,0,1,0.5197985173099852,16.0,-1.1783091688084328,3.0772935533656582,0.0513663529159199,1,2.464606229990718
2026-02-02,TSLA,1,0,0.5188616045201514,27.0,1.5948842395779084,2.6002176007504945,0.0255853253668494,0,0.6355773302741826
2026-01-08,TSLA,1,0,0.5188268182297561,22.0,0.2289645895881215,2.4018022010463005,0.0286832914231044,0,-0.5766621824305
2026-01-29,MSFT,0,1,0.5186179790020741,1605.0,0.463579707731316,2.400847200983558,0.0534025556177404,1,-0.0468667159412948
2026-02-09,TSLA,1,0,0.5182934165304487,33.0,1.57589133957756,2.0237754530161345,0.0288756782528458,0,1.6165947665615286
2026-01-02,AMZN,1,0,0.5174872504658321,43.0,0.435827068036593,3.2185391075372225,0.0084137017073038,0,-0.5413514690874963
2026-01-02,TSLA,1,0,0.516991994080627,131.0,0.3292918905472467,1.7702775418726542,0.009557499825199,0,-0.5875353969823847
2026-01-26,TSLA,0,1,0.5167088381594706,22.0,0.703270442210244,1.8378855957710043,0.0362709602973219,1,0.1351590346819395
2026-02-05,TSLA,1,0,0.5163920198152396,32.0,-1.2143597343919996,2.8026393020794607,0.0273082748381274,0,0.6468696161087829
2026-01-06,AMZN,1,0,0.5163285603387539,90.0,1.041647429332918,2.6610831579999,0.0228514087585976,0,0.3329053803697218
2026-01-08,AMZN,1,0,0.5162283544197962,71.0,0.3440728092728478,2.965411105714005,0.0214643960377455,0,1.680427927270532
2026-01-15,TSLA,0,1,0.5162066908167904,29.0,0.6497776061595235,2.8767130118813493,0.0146091036748712,1,0.8136840901872406
2026-01-06,NVDA,1,0,0.5151062269854003,1426.0,1.3793963050599038,2.14199192300821,0.0076517493126384,0,0.0932548586525328
2026-01-09,GOOGL,1,0,0.514692806689484,1948.0,0.1292490888546658,3.038426506454719,0.0113081374656665,0,0.465948048579761
2026-02-06,MSFT,1,0,0.5135580597052865,1205.0,0.0397493837649448,2.643824870773253,0.027488337661784,0,-0.2447852581427067
2026-02-12,TSLA,1,0,0.5135539664446029,28.0,-0.0097200612456793,3.1258910589309683,0.0226102622864298,0,-0.3326532618304577
2026-02-13,AAPL,1,0,0.5131663385287957,202.0,0.5360202867630826,4.180640469716826,0.0217363792754697,0,-0.9896106369898716
2026-01-07,GOOGL,1,0,0.5129027546438779,2011.0,0.5341640973096113,3.0341734280138883,0.0120268238087651,0,0.5889994066463053
2026-01-21,TSLA,1,0,0.5125090620263617,92.0,-2.040394698470335,3.679925721462935,0.0258689595939466,1,-0.3691888733811388
2026-01-12,GOOGL,1,0,0.512354486567985,2129.0,0.1712666476885775,3.05537074995114,0.0110862100070285,0,0.1292490888546658
2026-02-13,NVDA,1,0,0.5120172973249744,530.0,1.1566794892879009,2.6661223190773087,0.0191712758682912,0,1.6800276976441628
2026-01-08,GOOGL,1,0,0.5119063166846303,2101.0,0.465948048579761,3.2303350140418137,0.0113025168722315,0,0.5341640973096113
2026-01-05,AMZN,1,0,0.5115183072850328,55.0,0.3329053803697218,2.5810515066915634,0.0176715507981577,0,0.435827068036593
2026-02-05,NVDA,1,0,0.5111962042173891,528.0,1.333214209437032,2.3987426676090493,0.0115148483452666,0,1.304195200486137
2026-01-12,NVDA,1,0,0.5109567337457751,369.0,1.1604353756575363,2.416490681234928,0.011508901062973,0,0.8508868023336926
2026-01-14,NVDA,1,0,0.5101252460950887,689.0,0.5381481301097966,2.552328984571895,0.0110861928637569,0,1.0120508646054147
2026-02-13,AMZN,1,0,0.5100396604774595,87.0,0.6262909159548325,3.418978721110957,0.0069741615303635,0,1.233488424785389
2026-02-10,AAPL,1,0,0.5090898593504442,443.0,-2.5652287184815794,4.37845561090236,0.0144584437294166,0,-4.980494822943383
2026-02-09,AAPL,0,1,0.5081814039672142,1097.0,-4.980494822943383,3.72754818439561,0.0143008837762063,0,-1.19455851001255
2026-01-02,GOOGL,1,0,0.5075784585973028,1270.0,0.1956791202776413,2.864563093380019,0.0037583252383826,0,0.2948977884649282
2026-01-06,MSFT,1,0,0.5074315621527589,908.0,0.8360624920772903,2.798085710565849,0.0125843096290523,0,0.6495063384902896
2026-01-05,MSFT,1,0,0.5071705206783266,710.0,0.6495063384902896,2.7204952092904917,0.0095465588597579,0,0.12955269224535
2026-02-03,MSFT,1,0,0.5070616493216309,1535.0,-0.0858104367190441,2.9974105432800733,0.0407190184747479,0,-0.6019275726597714
2026-02-03,AAPL,1,0,0.5063225198809442,174.0,0.680210498539404,3.4671840182449283,0.0186952223238021,0,0.696849160886847
2026-02-11,AMZN,0,1,0.5049759760065707,112.0,1.3953760048553887,3.4315401466589583,0.0223468996329395,0,0.9193375235432352
2026-01-06,GOOGL,1,0,0.5049255846538417,2204.0,0.5889994066463053,3.240701107335112,0.0055190137999297,0,0.2262774555708774
2026-02-05,MSFT,1,0,0.5048548477591228,1360.0,-0.2447852581427067,2.936397004698665,0.0215590682069226,0,-0.2551961685380364
2026-02-05,AAPL,1,0,0.5035300509346058,169.0,1.5271258662166167,3.56889089959453,0.0190441948496132,0,1.4691658979344058
2026-01-09,AAPL,1,0,0.5026365935860746,268.0,1.4833089485315387,3.99064172341818,0.0076426021184156,0,2.013832338213102
2026-01-08,MSFT,1,0,0.5019000802552809,886.0,0.490895548172494,2.8837841046903003,0.0144658313451072,0,0.9442580159816452
2026-02-06,GOOGL,1,0,0.5008946530610158,2226.0,0.3752479293224502,3.0221508576738323,0.0163318237536377,0,0.5808857060078236
2026-01-07,AMZN,1,0,0.5001698133149184,105.0,1.680427927270532,2.847911256610259,0.0228133487925798,0,1.041647429332918
