experiment_id,factor_varied,change_from_baseline,val_f1_macro,val_accuracy,val_recall_pos,f1_class_down,f1_class_up,runtime_sec,status
E1_baseline,—,Baseline anchor,0.4544,0.4762,0.7634,0.3452,0.5635,0.012,baseline
E2_class_weight,Class weight,class_weight='balanced' (else baseline),0.4827,0.4857,0.6344,0.4433,0.5221,0.005,keep
E3_l2_reg,Regularization,L2 penalty (C=0.1) + balanced,0.5127,0.5143,0.6452,0.4848,0.5405,0.002,keep
E4_robust_scaler,Scaler,RobustScaler instead of StandardScaler (+ balanced),0.4827,0.4857,0.6344,0.4433,0.5221,0.01,keep
E5_poly_features,Feature engineering,"PolynomialFeatures(deg=2, interaction_only) (+ balanced)",0.4616,0.4619,0.4946,0.4744,0.4488,0.023,discard
E6_random_forest,Model family,"RandomForest (n=300, depth=6, balanced)",0.5334,0.5381,0.4946,0.5801,0.4868,0.273,keep
E7_hist_gbt,Model family,"HistGradientBoosting (iter=300, depth=4, lr=0.05)",0.5236,0.5238,0.5699,0.5327,0.5146,0.251,keep
E8_extra_trees,Model family,"ExtraTrees (n=300, depth=6, balanced) — current best",0.5557,0.5667,0.4624,0.6255,0.4859,0.134,keep
